,Glacier ID,Political Unit,Continent,Basin Code,Location Code,Glacier Code,Glacier Name,Latitude,Longitude,Primary Class,Glacier Source,Glacier Form,Glacier Activity,Minimum Elevation,Minimum Elevation Exposed,Mean Elevation,Maximum Elevation,Snow Line Elevation,Snow Line Accuracy,Glacier Area,Area Accuracy,Area Exposed,Mean Width,Mean Length,Maximum Length,Maximum Length Exposed,Mean Depth,Depth Accuracy,Accumulation Orientation,Ablation Orientation,Topographic Map Year,Topographic Map Scale,Photograph Year
40937,CN5O280A0008,CHINA,ASIA,O280,A0,8,SEDONG,29.805,94.90899999999999,5.0,2.0,2.0,0.0,3160.0,3160.0,5227.0,7294.0,4140.0,2.0,37.74,1.0,35.24,4.4,8.5,9.4,9.4,147.0,2.0,S,S,1925.0,100000.0,1970.0
40941,CN5O280A0012,CHINA,ASIA,O280,A0,12,BAINU,29.791,94.863,6.0,2.0,4.0,2.0,4080.0,4080.0,5160.0,6240.0,4800.0,2.0,9.42,1.0,9.42,2.4,4.0,5.0,5.0,93.0,2.0,SW,SW,1925.0,100000.0,1970.0
40947,CN5O280B0003,CHINA,ASIA,O280,B0,3,DUOJIEAIZHONG,29.855999999999998,94.985,5.0,2.0,2.0,2.0,2580.0,2580.0,4937.0,7294.0,3740.0,2.0,32.79,1.0,32.79,5.7,6.0,14.1,14.1,140.0,2.0,NE,NE,1975.0,100000.0,1970.0
40960,CN5O280B0016,CHINA,ASIA,O280,B0,16,GANGTUO,29.857,94.891,5.0,2.0,2.0,2.0,3360.0,3360.0,5103.0,6846.0,5160.0,2.0,43.15,1.0,37.65,6.0,7.2,11.5,6.9,153.0,2.0,N,N,1975.0,100000.0,1970.0
40965,CN5O280B0021,CHINA,ASIA,O280,B0,21,ZHIBAGUANGCAI,29.819000000000003,94.836,5.0,2.0,2.0,2.0,3900.0,3900.0,5373.0,6846.0,4580.0,2.0,22.84,1.0,17.24,3.5,6.5,10.1,3.1,125.0,2.0,NW,N,1975.0,100000.0,1970.0
41048,CN5O280C0036,CHINA,ASIA,O280,C0,36,GONGPU,30.168000000000003,94.45299999999999,5.0,0.0,3.0,2.0,3730.0,3730.0,5020.0,6310.0,4550.0,2.0,7.7,1.0,7.7,2.6,3.0,6.5,6.5,87.0,2.0,SE,S,1975.0,100000.0,1970.0
41060,CN5O280C0048,CHINA,ASIA,O280,C0,48,WANGBUDE,30.159000000000002,94.71799999999999,5.0,0.0,3.0,1.0,3850.0,3850.0,4905.0,5960.0,4750.0,2.0,5.7,1.0,5.7,1.9,3.0,3.8,3.8,78.0,2.0,W,W,1975.0,100000.0,1970.0
41093,CN5O280C0081,CHINA,ASIA,O280,C0,81,PEILONG,30.087,94.896,6.0,0.0,3.0,2.0,3280.0,3280.0,4554.0,5828.0,4852.0,2.0,20.9,1.0,20.9,4.6,4.6,8.1,8.1,121.0,2.0,NE,NE,1975.0,100000.0,1970.0
41111,CN5O281A0018,CHINA,ASIA,O281,A0,18,SUOBAI,30.134,94.735,5.0,0.0,3.0,2.0,3630.0,3630.0,4795.0,5960.0,4412.0,2.0,6.0,1.0,6.0,1.8,3.3,5.1,5.1,80.0,2.0,E,E,1975.0,110000.0,1970.0
41125,CN5O281A0032,CHINA,ASIA,O281,A0,32,XIBENG,30.212,94.60600000000001,6.0,0.0,3.0,2.0,3230.0,3230.0,4770.0,6310.0,4412.0,2.0,16.8,1.0,16.8,2.9,5.8,8.5,8.5,113.0,2.0,N,N,1975.0,110000.0,1970.0
41130,CN5O281A0037,CHINA,ASIA,O281,A0,37,GONGBA,30.272,94.553,6.0,0.0,3.0,1.0,3560.0,3560.0,4740.0,5946.0,4630.0,2.0,4.6,1.0,4.6,2.2,2.1,4.1,4.1,73.0,2.0,NE,NE,1975.0,110000.0,1970.0
41152,CN5O281A0059,CHINA,ASIA,O281,A0,59,JIAPU,30.256999999999998,94.404,6.0,0.0,3.0,0.0,3760.0,3760.0,4800.0,6040.0,4420.0,2.0,6.4,1.0,6.4,1.5,4.2,4.2,4.2,82.0,2.0,E,NE,1975.0,110000.0,1970.0
41162,CN5O281A0069,CHINA,ASIA,O281,A0,69,ZAXI,30.339000000000002,94.32700000000001,6.0,1.0,4.0,0.0,3670.0,3670.0,4400.0,6029.0,4820.0,2.0,7.15,1.0,7.15,2.6,2.8,3.3,3.3,85.0,2.0,NE,NE,1975.0,110000.0,1970.0
41183,CN5O281A0090,CHINA,ASIA,O281,A0,90,SHIZHANGQIONG,30.21,94.215,6.0,1.0,2.0,2.0,3680.0,3680.0,4600.0,6614.0,4392.0,2.0,17.15,1.0,17.15,3.2,5.4,5.9,5.9,113.0,2.0,NE,N,1975.0,110000.0,1970.0
41199,CN5O281A0106,CHINA,ASIA,O281,A0,106,YUMU,30.214000000000002,94.156,6.0,1.0,2.0,2.0,4125.0,4125.0,5000.0,6641.0,4640.0,2.0,12.8,1.0,12.8,3.1,4.1,5.1,5.1,103.0,2.0,N,N,1975.0,110000.0,1970.0
41211,CN5O281A0118,CHINA,ASIA,O281,A0,118,YANGREGANGPU,30.333000000000002,94.03299999999999,5.0,1.0,2.0,2.0,3440.0,3440.0,4600.0,6648.0,4300.0,2.0,35.95,1.0,35.95,5.0,7.2,8.7,8.7,145.0,2.0,E,E,1975.0,110000.0,1970.0
41254,CN5O281A0161,CHINA,ASIA,O281,A0,161,QUGUO,30.351,93.89299999999999,5.0,1.0,3.0,0.0,4200.0,4200.0,5100.0,6842.0,4860.0,2.0,12.6,1.0,12.6,2.3,5.5,5.7,5.7,102.0,2.0,N,N,1975.0,110000.0,1970.0
41256,CN5O281A0163,CHINA,ASIA,O281,A0,163,RONGWA,30.333000000000002,93.81700000000001,5.0,1.0,4.0,0.0,4075.0,4075.0,5200.0,6244.0,4620.0,2.0,32.8,1.0,32.8,6.6,5.0,5.7,5.7,140.0,2.0,N,N,1975.0,110000.0,1970.0
41278,CN5O281A0185,CHINA,ASIA,O281,A0,185,GALUOGONG,30.32,93.72399999999999,5.0,1.0,2.0,2.0,3880.0,3880.0,5400.0,6870.0,4940.0,2.0,65.6,1.0,65.6,5.0,13.0,13.2,13.2,175.0,2.0,N,N,1975.0,110000.0,1970.0
41309,CN5O281A0216,CHINA,ASIA,O281,A0,216,ZHENONG,30.377,93.45700000000001,6.0,1.0,3.0,2.0,4780.0,4780.0,5400.0,5939.0,5250.0,2.0,6.9,1.0,6.9,2.4,2.9,3.1,3.1,84.0,2.0,N,N,1975.0,110000.0,1970.0
41356,CN5O281A0263,CHINA,ASIA,O281,A0,263,TANONG,30.465,93.62799999999999,6.0,0.0,3.0,2.0,4670.0,4670.0,5700.0,6502.0,5220.0,2.0,7.8,1.0,7.8,1.7,4.6,4.6,4.6,87.0,2.0,S,S,1975.0,110000.0,1970.0
41389,CN5O281A0296,CHINA,ASIA,O281,A0,296,JIAO,30.531,93.691,6.0,1.0,4.0,2.0,5220.0,5220.0,5460.0,5786.0,5460.0,2.0,2.1,1.0,2.1,1.4,1.5,1.5,1.5,55.0,2.0,SE,SE,1975.0,110000.0,1970.0
41404,CN5O281A0311,CHINA,ASIA,O281,A0,311,SANGBO,30.515,93.749,6.0,0.0,3.0,2.0,5040.0,5040.0,5400.0,5802.0,5400.0,2.0,2.95,1.0,2.95,1.1,2.6,2.6,2.6,62.0,2.0,S,S,1975.0,110000.0,1970.0
41410,CN5O281A0317,CHINA,ASIA,O281,A0,317,DUORI,30.502,93.796,5.0,0.0,3.0,2.0,4660.0,4660.0,5400.0,5932.0,5350.0,2.0,5.2,1.0,5.2,1.3,4.0,4.0,4.0,76.0,2.0,SE,SE,1975.0,110000.0,1970.0
41466,CN5O281A0373,CHINA,ASIA,O281,A0,373,QUEKONG,30.526999999999997,93.65700000000001,6.0,0.0,3.0,2.0,4920.0,4920.0,5400.0,6230.0,5140.0,2.0,3.6,1.0,3.6,1.5,2.4,3.0,3.0,67.0,2.0,N,N,1975.0,110000.0,1970.0
41476,CN5O281A0383,CHINA,ASIA,O281,A0,383,YALIJING,30.495,93.60700000000001,5.0,0.0,3.0,2.0,4670.0,4670.0,5600.0,6502.0,5220.0,2.0,13.9,1.0,13.9,2.7,5.1,5.8,5.8,106.0,2.0,N,N,1975.0,110000.0,1970.0
41491,CN5O281A0398,CHINA,ASIA,O281,A0,398,KAJIA,30.511,93.5,5.0,0.0,3.0,2.0,4715.0,4715.0,5300.0,6264.0,5120.0,2.0,10.3,1.0,10.3,2.6,4.0,4.8,4.8,96.0,2.0,N,N,1975.0,110000.0,1970.0
41506,CN5O281A0413,CHINA,ASIA,O281,A0,413,MULANG,30.502,93.45200000000001,5.0,0.0,3.0,2.0,4770.0,4770.0,5400.0,6156.0,5200.0,2.0,11.0,1.0,11.0,2.3,4.7,5.8,5.8,98.0,2.0,NW,N,1975.0,110000.0,1970.0
41551,CN5O281A0458,CHINA,ASIA,O281,A0,458,YENONG,30.535,93.226,5.0,0.0,3.0,2.0,5040.0,5040.0,5400.0,6237.0,5260.0,2.0,2.4,1.0,2.4,0.9,2.7,3.0,3.0,58.0,2.0,N,NE,1975.0,110000.0,1970.0
41811,CN5O281B0191,CHINA,ASIA,O281,B0,191,GUNONG,30.62,93.902,5.0,0.0,3.0,2.0,4930.0,4930.0,5400.0,5982.0,5330.0,2.0,3.2,1.0,3.2,1.0,3.1,3.3,3.3,64.0,2.0,S,S,1975.0,70000.0,1970.0
41820,CN5O281B0200,CHINA,ASIA,O281,B0,200,LAPU,30.598000000000003,93.961,6.0,0.0,3.0,2.0,4870.0,4870.0,5240.0,5848.0,5210.0,2.0,4.9,1.0,4.9,2.3,2.1,2.8,2.8,74.0,2.0,S,S,1975.0,70000.0,1970.0
41826,CN5O281B0206,CHINA,ASIA,O281,B0,206,GUYONG,30.566999999999997,94.014,6.0,1.0,4.0,2.0,4920.0,4920.0,5200.0,5736.0,5200.0,2.0,3.4,1.0,3.4,1.8,1.9,2.7,2.7,65.0,2.0,SW,W,1975.0,70000.0,1970.0
41853,CN5O281B0233,CHINA,ASIA,O281,B0,233,GONGTING,30.585,94.0,6.0,1.0,3.0,2.0,4920.0,4920.0,5400.0,5808.0,5320.0,2.0,3.7,1.0,3.7,1.9,2.0,2.4,2.4,67.0,2.0,NE,NE,1975.0,70000.0,1970.0
41880,CN5O281B0260,CHINA,ASIA,O281,B0,260,RILONG,30.616999999999997,93.964,5.0,1.0,3.0,2.0,4910.0,4910.0,5320.0,5700.0,5220.0,2.0,2.4,1.0,2.4,1.3,1.9,2.3,2.3,58.0,2.0,N,N,1975.0,70000.0,1970.0
41893,CN5O281B0273,CHINA,ASIA,O281,B0,273,XIAQIONG,30.638,93.898,5.0,0.0,3.0,2.0,4795.0,4795.0,5480.0,5978.0,5290.0,2.0,3.7,1.0,3.7,1.0,3.6,3.6,3.6,67.0,2.0,NW,N,1975.0,70000.0,1970.0
41914,CN5O281B0294,CHINA,ASIA,O281,B0,294,YEREN,30.724,93.741,6.0,1.0,4.0,2.0,5200.0,5200.0,5400.0,5664.0,5330.0,2.0,1.3,1.0,1.3,1.1,1.2,1.2,1.2,46.0,2.0,N,N,1975.0,70000.0,1970.0
41944,CN5O281B0324,CHINA,ASIA,O281,B0,324,CUOGA,30.828000000000003,93.695,6.0,1.0,4.0,2.0,5220.0,5220.0,5460.0,5798.0,5440.0,2.0,2.6,1.0,2.6,1.7,1.5,1.6,1.6,60.0,2.0,N,N,1975.0,70000.0,1970.0
41970,CN5O281B0350,CHINA,ASIA,O281,B0,350,REPU,30.891,93.76700000000001,5.0,0.0,3.0,2.0,4960.0,4960.0,5280.0,6840.0,5270.0,2.0,5.3,1.0,5.3,1.1,4.7,5.2,5.2,76.0,2.0,SW,SW,1975.0,70000.0,1970.0
41975,CN5O281B0355,CHINA,ASIA,O281,B0,355,NAGUI,30.892,93.82,5.0,0.0,3.0,2.0,4780.0,4780.0,5200.0,6400.0,5260.0,2.0,4.8,1.0,4.8,1.7,2.9,3.9,3.9,74.0,2.0,SE,SE,1975.0,70000.0,1970.0
42015,CN5O281B0395,CHINA,ASIA,O281,B0,395,CUOGA,30.848000000000003,93.984,5.0,0.0,3.0,2.0,4780.0,4780.0,5400.0,6115.0,5320.0,2.0,5.7,1.0,5.7,1.2,4.6,4.8,4.8,78.0,2.0,SE,SE,1975.0,70000.0,1970.0
42018,CN5O281B0398,CHINA,ASIA,O281,B0,398,JIABU,30.794,94.008,6.0,1.0,4.0,2.0,4820.0,4820.0,5400.0,6164.0,5320.0,2.0,2.1,1.0,2.1,1.0,2.1,2.4,2.4,55.0,2.0,N,N,1975.0,70000.0,1970.0
42088,CN5O281B0468,CHINA,ASIA,O281,B0,468,ZHUONONG,30.866999999999997,93.99799999999999,5.0,0.0,3.0,2.0,4780.0,4780.0,5080.0,6390.0,5240.0,2.0,3.5,1.0,3.5,0.7,4.8,5.1,5.1,66.0,2.0,SE,SE,1975.0,70000.0,1970.0
42195,CN5O281B0575,CHINA,ASIA,O281,B0,575,JIONGLA,30.585,94.54299999999999,5.0,0.0,2.0,2.0,3920.0,3920.0,5000.0,6692.0,4800.0,2.0,89.3,1.0,89.3,5.7,15.8,17.5,17.5,193.0,2.0,NW,NW,1975.0,70000.0,1970.0
42203,CN5O281B0583,CHINA,ASIA,O281,B0,583,LEPU,30.566999999999997,94.41799999999999,5.0,0.0,2.0,2.0,4300.0,4300.0,5000.0,6605.0,5150.0,2.0,61.6,1.0,61.6,5.5,11.1,13.8,13.8,172.0,2.0,NE,NE,1975.0,70000.0,1970.0
42216,CN5O281B0596,CHINA,ASIA,O281,B0,596,TAYANONG,30.635,94.4,5.0,0.0,3.0,2.0,4600.0,4600.0,5280.0,6605.0,5150.0,2.0,14.9,1.0,14.9,2.8,5.3,7.0,7.0,108.0,2.0,N,N,1975.0,70000.0,1970.0
42231,CN5O281B0611,CHINA,ASIA,O281,B0,611,RONGPU,30.628,94.324,5.0,0.0,3.0,2.0,4120.0,4120.0,5400.0,6327.0,5100.0,2.0,18.4,1.0,18.4,2.1,8.9,13.5,13.5,116.0,2.0,NW,N,1975.0,70000.0,1970.0
42237,CN5O281B0617,CHINA,ASIA,O281,B0,617,REGONGMA,30.607,94.294,5.0,0.0,3.0,2.0,4350.0,4350.0,5200.0,6390.0,5060.0,2.0,16.1,1.0,16.1,2.9,5.5,6.0,6.0,111.0,2.0,NW,NW,1975.0,70000.0,1970.0
42246,CN5O281B0626,CHINA,ASIA,O281,B0,626,DANGWUSEMENG,30.575,94.24,5.0,0.0,2.0,2.0,4160.0,4160.0,5000.0,6550.0,4736.0,2.0,35.5,1.0,35.5,3.5,10.1,11.3,11.3,144.0,2.0,SW,SW,1975.0,70000.0,1970.0
42281,CN5O281B0661,CHINA,ASIA,O281,B0,661,GONGCANG,30.529,94.265,5.0,0.0,3.0,2.0,3840.0,3840.0,4800.0,6162.0,4760.0,2.0,28.8,1.0,28.8,3.7,7.7,9.4,9.4,134.0,2.0,SE,SE,1975.0,70000.0,1970.0
42288,CN5O281B0668,CHINA,ASIA,O281,B0,668,YENONG,30.564,94.34,5.0,0.0,2.0,2.0,3744.0,3744.0,4600.0,6340.0,4600.0,2.0,42.5,1.0,42.5,0.8,11.0,12.4,12.4,153.0,2.0,SE,SE,1975.0,70000.0,1970.0
42322,CN5O281B0702,CHINA,ASIA,O281,B0,702,XIAQU,30.5,94.5,5.0,0.0,1.0,2.0,3160.0,3160.0,4600.0,6692.0,4740.0,2.0,163.6,1.0,163.6,8.2,20.0,21.0,21.0,234.0,2.0,SE,SE,1975.0,70000.0,1970.0
42334,CN5O281B0714,CHINA,ASIA,O281,B0,714,DAOGE,30.483,94.6,5.0,1.0,2.0,2.0,4000.0,4000.0,4600.0,5987.0,4600.0,2.0,78.2,1.0,78.2,6.4,12.3,14.5,14.5,185.0,2.0,SE,SE,1975.0,70000.0,1970.0
42340,CN5O281B0720,CHINA,ASIA,O281,B0,720,GONGPU,30.416999999999998,94.706,5.0,0.0,2.0,2.0,2680.0,2680.0,5000.0,5900.0,4900.0,2.0,34.3,1.0,34.3,2.9,11.7,12.5,12.5,142.0,2.0,SE,S,1975.0,70000.0,1970.0
42349,CN5O281B0729,CHINA,ASIA,O281,B0,729,QIAQING,30.517,94.7,5.0,0.0,2.0,2.0,2900.0,2900.0,5100.0,6356.0,4890.0,2.0,206.7,1.0,206.7,2.2,33.8,35.3,35.3,252.0,2.0,SE,SE,1975.0,70000.0,1970.0
42366,CN5O281B0746,CHINA,ASIA,O281,B0,746,RUOGUO,30.566999999999997,94.73299999999999,5.0,0.0,3.0,2.0,3625.0,3625.0,4700.0,6488.0,4490.0,2.0,72.8,1.0,72.8,5.4,13.4,15.4,15.4,181.0,2.0,SE,SE,1975.0,70000.0,1970.0
42377,CN5O281B0757,CHINA,ASIA,O281,B0,757,AYITA,30.459,94.899,5.0,0.0,3.0,2.0,3580.0,3580.0,4800.0,6214.0,4250.0,2.0,10.4,1.0,10.4,2.0,5.1,5.9,5.9,96.0,2.0,SW,SW,1975.0,70000.0,1970.0
42433,CN5O281B0813,CHINA,ASIA,O281,B0,813,MAGUOLONG,30.55,95.083,5.0,0.0,2.0,2.0,3998.0,3998.0,4900.0,6252.0,4800.0,2.0,68.8,1.0,68.8,4.8,14.3,16.0,16.0,178.0,2.0,SE,S,1975.0,70000.0,1970.0
42469,CN5O281B0849,CHINA,ASIA,O281,B0,849,YANGBIEGONG,30.32,95.0,5.0,0.0,3.0,2.0,3020.0,3020.0,4500.0,6388.0,4430.0,2.0,55.3,1.0,55.3,4.5,12.2,15.8,15.8,166.0,2.0,NW,NW,1975.0,70000.0,1970.0
42481,CN5O281B0861,CHINA,ASIA,O281,B0,861,NACHALE,30.305999999999997,94.965,5.0,0.0,3.0,2.0,4000.0,4000.0,4700.0,6061.0,4430.0,2.0,5.7,1.0,5.7,1.8,3.1,3.3,3.3,78.0,2.0,S,S,1975.0,70000.0,1970.0
42543,CN5O282A0024,CHINA,ASIA,O282,A0,24,GUXIANG,29.965999999999998,95.47200000000001,6.0,1.0,4.0,2.0,3680.0,3680.0,4600.0,6336.0,4740.0,2.0,10.5,1.0,10.5,3.2,3.3,3.6,3.6,96.0,2.0,SW,SW,1983.0,90000.0,1980.0
42590,CN5O282A0071,CHINA,ASIA,O282,A0,71,ZEPU,30.3,95.15,5.0,0.0,3.0,2.0,3380.0,3380.0,4800.0,6364.0,4640.0,2.0,72.4,1.0,72.4,3.7,19.4,19.8,19.8,181.0,2.0,NE,E,1983.0,90000.0,1980.0
42620,CN5O282A0101,CHINA,ASIA,O282,A0,101,RIMU,30.576999999999998,95.15299999999999,5.0,0.0,3.0,2.0,4230.0,4230.0,5100.0,6050.0,4750.0,2.0,15.2,1.0,15.2,2.4,6.4,6.8,6.8,19.0,2.0,SE,E,1983.0,90000.0,1980.0
42622,CN5O282A0103,CHINA,ASIA,O282,A0,103,GUANXING,30.633000000000003,95.133,5.0,0.0,3.0,2.0,4270.0,4270.0,5200.0,6030.0,4800.0,2.0,47.6,1.0,47.6,4.0,11.8,12.6,12.6,158.0,2.0,SE,SE,1983.0,90000.0,1980.0
42650,CN5O282A0131,CHINA,ASIA,O282,A0,131,DANGCAIGONGPU,30.333000000000002,95.329,5.0,0.0,3.0,2.0,3900.0,3900.0,4800.0,6168.0,4630.0,2.0,4.1,1.0,4.1,1.1,3.7,4.0,4.0,70.0,2.0,SE,SE,1983.0,90000.0,1980.0
42737,CN5O282A0218,CHINA,ASIA,O282,A0,218,ANZA,30.6,95.545,6.0,1.0,4.0,2.0,5040.0,5040.0,5160.0,5270.0,5150.0,2.0,1.6,1.0,1.6,0.9,1.7,1.7,1.7,50.0,2.0,SW,SW,1983.0,90000.0,1980.0
42995,CN5O282A0476,CHINA,ASIA,O282,A0,476,ZUOGUZASAN,29.958000000000002,95.92,5.0,0.0,3.0,2.0,4198.0,4198.0,4880.0,5716.0,4500.0,2.0,12.9,1.0,12.9,2.3,5.5,6.9,6.9,103.0,2.0,NW,NW,1983.0,90000.0,1980.0
42997,CN5O282A0478,CHINA,ASIA,O282,A0,478,ZAANZHESAN,29.971,95.86200000000001,5.0,0.0,3.0,2.0,4220.0,4220.0,4700.0,5656.0,4390.0,2.0,11.4,1.0,11.4,2.0,5.8,6.1,6.1,99.0,2.0,N,N,1983.0,90000.0,1980.0
43056,CN5O282A0537,CHINA,ASIA,O282,A0,537,NIZU,29.933000000000003,95.896,5.0,1.0,4.0,2.0,4200.0,4200.0,4800.0,5644.0,4490.0,2.0,15.9,1.0,15.9,3.4,4.7,5.6,5.6,111.0,2.0,S,S,1983.0,90000.0,1980.0
43281,CN5O282A0762,CHINA,ASIA,O282,A0,762,MURU,29.846999999999998,96.39299999999999,5.0,0.0,3.0,2.0,4700.0,4700.0,5160.0,5632.0,5100.0,2.0,13.7,1.0,13.7,2.1,6.5,6.8,6.8,105.0,2.0,N,N,1983.0,90000.0,1980.0
43318,CN5O282A0799,CHINA,ASIA,O282,A0,799,BACUO,29.783,96.352,5.0,0.0,3.0,2.0,4420.0,4420.0,5100.0,5784.0,5000.0,2.0,8.4,1.0,8.4,1.7,5.0,5.5,5.5,89.0,2.0,S,S,1983.0,90000.0,1980.0
43326,CN5O282A0807,CHINA,ASIA,O282,A0,807,QUCUO,29.822,96.383,6.0,0.0,3.0,2.0,4540.0,4540.0,4960.0,5648.0,4940.0,2.0,2.6,1.0,2.6,0.8,3.1,3.1,3.1,60.0,2.0,SE,SE,1983.0,90000.0,1980.0
43443,CN5O282A0924,CHINA,ASIA,O282,A0,924,JIAOZONG,29.566,96.67,5.0,0.0,2.0,2.0,4680.0,4680.0,5320.0,6080.0,5400.0,2.0,5.6,1.0,5.6,1.4,3.9,5.2,5.2,78.0,2.0,SE,NE,1983.0,90000.0,1980.0
43618,CN5O282B0002,CHINA,ASIA,O282,B0,2,DANONG,29.22,96.964,5.0,0.0,2.0,2.0,4640.0,4640.0,5160.0,6017.0,4910.0,2.0,15.2,1.0,15.2,2.5,6.2,6.6,6.6,109.0,2.0,N,N,1984.0,90000.0,1980.0
43620,CN5O282B0004,CHINA,ASIA,O282,B0,4,RI,29.226,96.92,5.0,0.0,2.0,2.0,4618.0,4618.0,5320.0,5974.0,5081.0,2.0,12.75,1.0,12.75,1.9,6.7,8.0,8.0,103.0,2.0,N,N,1984.0,90000.0,1980.0
43629,CN5O282B0013,CHINA,ASIA,O282,B0,13,QUEGUO,29.305,96.884,5.0,0.0,2.0,2.0,4860.0,4860.0,5160.0,5325.0,5090.0,2.0,4.05,1.0,4.05,1.4,3.6,3.6,3.6,70.0,2.0,NW,NW,1984.0,90000.0,1980.0
43639,CN5O282B0023,CHINA,ASIA,O282,B0,23,ZUOQIUPU,29.212,96.89299999999999,5.0,0.0,3.0,2.0,4460.0,4460.0,5300.0,5864.0,5350.0,2.0,7.65,1.0,7.65,1.3,6.0,6.0,6.0,87.0,2.0,NW,NW,1984.0,90000.0,1980.0
43641,CN5O282B0025,CHINA,ASIA,O282,B0,25,BIMAQUE,29.158,96.898,5.0,0.0,2.0,2.0,4420.0,4420.0,4800.0,5807.0,4870.0,2.0,31.83,1.0,31.83,4.7,6.3,8.3,8.3,139.0,2.0,NW,NW,1984.0,90000.0,1980.0
43653,CN5O282B0037,CHINA,ASIA,O282,B0,37,YANONG,29.316999999999997,96.7,5.0,0.0,2.0,2.0,3960.0,3960.0,4900.0,6606.0,5040.0,2.0,191.45,1.0,191.45,7.2,26.7,32.5,32.5,246.0,2.0,E,SE,1984.0,90000.0,1980.0
43699,CN5O282B0083,CHINA,ASIA,O282,B0,83,GONGZA,29.416999999999998,96.5,5.0,0.0,2.0,2.0,3840.0,3840.0,4900.0,6585.0,5160.0,2.0,30.83,1.0,30.83,3.1,9.8,11.1,11.1,138.0,2.0,N,N,1984.0,90000.0,1980.0
43709,CN5O282B0093,CHINA,ASIA,O282,B0,93,LUOSAI,29.453000000000003,96.429,5.0,0.0,2.0,2.0,3680.0,3680.0,4700.0,6316.0,4550.0,2.0,40.2,1.0,40.2,3.3,12.1,12.8,12.8,150.0,2.0,N,N,1984.0,90000.0,1980.0
43760,CN5O282B0144,CHINA,ASIA,O282,B0,144,BANGLE,29.534000000000002,96.169,5.0,0.0,2.0,2.0,3650.0,3650.0,4800.0,5739.0,4650.0,2.0,18.68,1.0,18.68,2.6,7.1,7.7,7.7,117.0,2.0,NE,N,1984.0,90000.0,1980.0
43768,CN5O282B0152,CHINA,ASIA,O282,B0,152,QUWEN,29.624000000000002,96.08200000000001,5.0,0.0,3.0,2.0,3970.0,3970.0,4700.0,6347.0,4760.0,2.0,15.55,1.0,15.55,2.5,6.3,6.6,6.6,110.0,2.0,E,E,1984.0,90000.0,1980.0
43782,CN5O282B0166,CHINA,ASIA,O282,B0,166,DEMU,29.671,96.057,5.0,0.0,3.0,2.0,3480.0,3480.0,4500.0,6343.0,4970.0,2.0,17.15,1.0,17.15,2.0,8.6,8.6,8.6,113.0,2.0,NW,NW,1984.0,90000.0,1980.0
43791,CN5O282B0175,CHINA,ASIA,O282,B0,175,RONGCUO,29.576999999999998,96.0,5.0,0.0,3.0,2.0,3720.0,3720.0,4700.0,6112.0,4730.0,2.0,17.68,1.0,17.68,2.9,6.1,7.7,7.7,11.0,2.0,NW,NW,1984.0,90000.0,1980.0
43795,CN5O282B0179,CHINA,ASIA,O282,B0,179,ZAGUO,29.63,95.911,5.0,0.0,3.0,2.0,3540.0,3540.0,4900.0,6050.0,4650.0,2.0,13.3,1.0,13.3,2.1,6.3,6.3,6.3,104.0,2.0,E,E,1984.0,90000.0,1980.0
43811,CN5O282B0195,CHINA,ASIA,O282,B0,195,GONGGE,29.711,95.90100000000001,5.0,0.0,3.0,2.0,3720.0,3720.0,4800.0,5960.0,4050.0,2.0,12.2,1.0,12.2,2.7,4.5,5.8,5.8,101.0,2.0,N,N,1984.0,90000.0,1980.0
43828,CN5O282B0212,CHINA,ASIA,O282,B0,212,KANGXUE,29.633000000000003,95.867,5.0,1.0,4.0,2.0,3690.0,3690.0,4800.0,6050.0,4330.0,2.0,13.08,1.0,13.08,2.6,5.1,5.1,5.1,104.0,2.0,NW,NW,1984.0,90000.0,1980.0
43838,CN5O282B0222,CHINA,ASIA,O282,B0,222,BOGE,29.714000000000002,95.742,5.0,0.0,3.0,2.0,3410.0,3410.0,4600.0,5870.0,4440.0,2.0,16.2,1.0,16.2,2.3,7.0,8.4,8.4,111.0,2.0,E,E,1984.0,90000.0,1980.0
43849,CN5O282B0233,CHINA,ASIA,O282,B0,233,GALONG,29.756999999999998,95.73,5.0,0.0,3.0,2.0,3780.0,3780.0,4650.0,5679.0,4180.0,2.0,6.8,1.0,6.8,1.3,5.1,5.1,5.1,83.0,2.0,NW,NW,1984.0,90000.0,1980.0
43886,CN5O282B0270,CHINA,ASIA,O282,B0,270,GUODONG,29.798000000000002,95.213,5.0,0.0,3.0,2.0,3460.0,3460.0,4300.0,5350.0,5010.0,2.0,4.4,1.0,4.4,1.2,3.6,3.6,3.6,72.0,2.0,N,N,1984.0,90000.0,1980.0
44142,CN5O291A0106,CHINA,ASIA,O291,A0,106,KONGWEI,29.289,96.18299999999999,6.0,1.0,4.0,2.0,4160.0,4160.0,4700.0,5186.0,4770.0,2.0,7.33,1.0,7.33,2.1,3.5,3.5,3.5,85.0,2.0,SE,SE,1983.0,60000.0,1980.0
44158,CN5O291A0122,CHINA,ASIA,O291,A0,122,ANJUEZHU,29.369,96.10600000000001,6.0,0.0,3.0,2.0,4000.0,4000.0,4820.0,5386.0,4740.0,2.0,6.93,1.0,6.93,1.7,4.2,4.2,4.2,84.0,2.0,E,E,1983.0,60000.0,1980.0
