,Event Type,Place,Event Start Date,Fatalities,Injured / Infected,Evacuated,Estimated Total Cost
,Meteorological - Hydrological:,Northwest of Matagami QC,10-Jun-97,0,0,1100,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Montreal and Mauricie Region QC,8-Nov-96,0,0,1000,"$93,089,380"
,Flood,,,,,,
,Meteorological - Hydrological:,Saguenay River Valley QC,19-Jul-96,10,0,15825,"$300,000,000"
,Flood,,,,,,
,Meteorological - Hydrological:,Blanc Sablon QC,10-Mar-95,2,0,69,"$368,160"
,Avalanche,,,,,,
,Hazardous Chemicals:,Hervey Junction QC,21-Jan-95,0,0,0,Unknown
,Derailment Release,,,,,,
,Meteorological - Hydrological:,Quebec,1-Jan-95,0,0,0,"$57,478"
,Flood,,,,,,
,Explosion:,Montreal QC,21-Oct-94,2,0,0,Unknown
,Non-Residential,,,,,,
,Meteorological - Hydrological:,Aylmer QC,4-Aug-94,0,4,1000,"$7,786,393"
,Tornado,,,,,,
,Meteorological - Hydrological:,Plaster Rock NB and Lower St. Lawrence Region QC,16-Apr-94,0,0,0,"$57,025,698"
,Flood,,,,,,
,Meteorological - Hydrological:,Montreal and area QC,5-Jan-94,6,0,0,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Quebec and Ontario,1-Nov-93,0,0,0,Unknown
,Winter Storm,,,,,,
,Meteorological - Hydrological:,Quebec,29-Jul-93,0,0,0,"$10,017,238"
,Flood,,,,,,
,Meteorological - Hydrological:,Ontario and Quebec,12-Nov-92,0,0,0,Unknown
,Storm - Unspecified / Other,,,,,,
,Meteorological - Hydrological:,"Sainte-Brigitte-de-Laval, about 40 km north of Qu_bec City QC",12-Mar-92,0,0,40,"$1,012,311"
,Flood,,,,,,
,Fire:,Montr_al QC,16-Feb-92,0,0,0,Unknown
,Residential,,,,,,
,Meteorological - Hydrological:,Maskinong_ QC,27-Aug-91,0,15,0,"$52,603,727"
,Tornado,,,,,,
,Meteorological - Hydrological:,"Betsiamites, Ragueneau et Baie-Comeau QC",29-Jun-91,0,0,4035,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Chaudière River QC,7-Apr-91,0,0,1000,"$3,682,004"
,Flood,,,,,,
,Geological:,Notre-Dame de Pierreville QC,1-Apr-91,0,0,0,"$304,756"
,Landslide,,,,,,
,Meteorological - Hydrological:,Madeleine Islands QC,16-Dec-90,8,2,0,"$397,070"
,Storms and Severe Thunderstorms,,,,,,
,Civil Incident:,Oka QC,11-Jul-90,1,0,10000,Unknown
,Disturbance / Demonstrations,,,,,,
,Hazardous Chemicals:,St.-Amable QC,16-May-90,0,0,150,Unknown
,Fire,,,,,,
,Hazardous Chemicals:,Sainte-Anne des Plaines QC,23-Apr-90,0,0,0,Unknown
,Fire,,,,,,
,Hazardous Chemicals:,La Baie QC,19-Mar-90,2,12,0,Unknown
,Marine Release,,,,,,
