Event Type,Place,Event Start Date,Fatalities,Injured / Infected,Evacuated,Estimated Total Cost
Meteorological - Hydrological:,Red Earth First Nation SK,14-Nov-16,Unknown,Unknown,576,Unknown
Flood,,,,,,
Biological:,Alberta and Saskatchewan,26-Oct-16,Unknown,Unknown,Unknown,"$16,700,000"
Epidemic,,,,,,
Hazardous Chemicals:,North Saskatchewan River SK,21-Jul-16,Unknown,Unknown,Unknown,Unknown
Leak / Spill Release,,,,,,
Meteorological - Hydrological:,Prairie Provinces,18-Jul-16,Unknown,Unknown,Unknown,Unknown
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Alberta and Saskatchewan,15-Jul-16,Unknown,Unknown,Unknown,Unknown
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Prairie Provinces,8-Jul-16,Unknown,Unknown,Unknown,Unknown
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Prairie Provinces,28-Jun-16,Unknown,Unknown,Unknown,Unknown
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,"Alberta, Saskatchewan, Manitoba and Ontario",24-Jun-16,Unknown,Unknown,Unknown,Unknown
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Alberta and Saskatchewan,22-Jul-15,Unknown,Unknown,Unknown,Unknown
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Northern Saskatchewan,1-Jul-15,Unknown,Unknown,13000,"$92,191,000"
Wildfire,,,,,,
Meteorological - Hydrological:,Prairie Provinces,12-Jun-15,Unknown,Unknown,Unknown,Unknown
Storms and Severe Thunderstorms,,,,,,
Meteorological - Hydrological:,Southern Saskatchewan,25-Jun-14,0,0,500,"$19,387,000"
Flood,,,,,,
Meteorological - Hydrological:,Cumberland House SK,29-Apr-13,0,0,3000,"$43,309,000"
Flood,,,,,,
Meteorological - Hydrological:,Weyburn and Estavan SK,17-Jun-11,0,0,383,Unknown
Flood,,,,,,
